t_s,phase,battery_v,drivetrain_a,intake_arms_a,intake_spinner_a,shooting_a
0.000,teleop,12.153,0.0,0.0,0.0,0.0
0.050,teleop,12.165,0.0,0.0,0.0,0.0
0.1 00,teleop,12.096,0.0,0.0,0.0,0.0
0.150,teleop,12.178,0.0,0.0,0.0,0.0
0.200,teleop,12.121,0.0,0.0,0.0,0.0
0.250,teleop,12.134,0.0,0.0,0.0,0.0
0.300,teleop,12.134,0.2,0.0,0.0,0.0
0.350,teleop,12.146,0.2,0.0,0.0,0.0
0.400,teleop,12.159,0.2,0.0,0.0,0.0
0.450,teleop,12.146,0.2,0.0,0.0,0.0
0.500,teleop,12.159,0.2,0.0,0.0,0.0
0.550,teleop,12.165,-0.0,0.0,0.0,0.0
0.600,teleop,12.146,-0.0,0.0,0.0,0.0
0.650,teleop,12.146,-0.0,0.0,0.0,0.0
0.700,teleop,12.153,-0.0,0.0,0.0,0.0
0.750,teleop,12.159,-0.0,0.0,0.0,0.0
0.800,teleop,12.159,-0.0,0.0,0.0,0.0
0.850,teleop,12.159,-0.0,0.0,0.0,0.0
0.902,teleop,12.165,-0.0,0.0,0.0,0.0
0.950,teleop,11.612,-0.0,0.0,0.0,0.0
1.000,teleop,11.298,-0.0,0.0,0.0,0.0
1.050,teleop,12.096,-0.0,0.0,0.0,0.0
1.100,teleop,12.109,-0.0,0.0,0.0,0.0
1.150,teleop,12.121,-0.0,0.0,0.0,0.0
1.200,teleop,12.140,-0.0,0.0,0.0,0.0
1.252,teleop,12.140,-0.0,0.0,0.0,0.0
1.300,teleop,12.134,0.0,0.0,0.0,0.0
1.350,teleop,12.134,0.0,0.0,0.0,0.0
1.400,teleop,12.140,0.0,0.0,0.0,0.0
1.450,teleop,12.140,0.0,0.0,0.0,0.0
1.500,teleop,12.134,0.0,0.0,0.0,0.0
1.550,teleop,12.128,-0.0,0.0,0.0,0.0
1.600,teleop,12.146,-0.0,0.0,0.0,0.0
1.650,teleop,12.146,-0.0,0.0,0.0,0.0
1.700,teleop,12.153,-0.0,0.0,0.0,0.0
1.750,teleop,12.153,-0.0,0.0,0.0,0.0
1.800,teleop,12.146,0.0,0.0,0.0,0.0
1.850,teleop,12.134,0.0,0.0,0.0,0.0
1.900,teleop,12.140,0.0,0.0,0.0,0.0
1.950,teleop,12.146,0.0,0.0,0.0,0.0
2.001,teleop,12.153,0.0,0.0,0.0,0.0
2.051,teleop,12.146,-0.0,0.0,0.0,0.0
2.102,teleop,12.146,-0.0,0.0,0.0,0.0
2.150,teleop,12.146,-0.0,0.0,0.0,0.0
2.201,teleop,12.140,-0.0,0.0,0.0,0.0
2.250,teleop,12.134,-0.0,0.0,0.0,0.0
2.300,teleop,12.146,-0.0,0.0,0.0,0.0
2.350,teleop,12.128,-0.0,0.0,0.0,0.0
2.400,teleop,12.153,-0.0,0.0,0.0,0.0
2.450,teleop,12.159,-0.0,0.0,0.0,0.0
2.501,teleop,12.153,-0.0,0.0,0.0,0.0
